SN,YEAR,QTR,MONTH,PROJECT_CODE,PROJECT_NAME,ACCOUNT_NAME,PRACTICE_AREA,BU,B_ TYPE,REGION_COUNTRY,ENTITY_INDIA_US,TOTAL_RESOURCES,TOTAL_REVENUE,TOTAL_DIRECT_COST,NET_MARGIN,EBIDTA
26,2022-23,Q1,05/17/24,SS300332,Software Service-PMB-Volume Gen. Onsite Support,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,3.31,0.00,3.31,3.31
27,2022-23,Q1,05/18/24,PD499999,Practice Bench –  PMB-Data & Analytics ,PMB,Data & Analytics,Digital,Bench,IND,PMBIT-IND-SA,4.47,,0.00,-8.58,-8.68
28,2022-23,Q1,05/19/24,SP100152,Software Products- PMB-Client Profiling,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,,57.00,45.00,12.00,12.00
29,2022-23,Q1,05/20/24,SS300272,Software Service - PMB - Machine Learning,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,,,0.25,-0.25,-0.25
30,2022-23,Q1,05/21/24,SS300303,Software Service -PMB -Client & TM Profiling,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,13.22,11.73,23.65,-11.92,-12.52
31,2022-23,Q1,05/22/24,SS300335,Software Service-PMB-Shareholder Repository Platform,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,7.75,,6.99,-6.99,-7.34
32,2022-23,Q1,05/23/24,SS400305,Software Service -PMB-SnowFlake Migration,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,7.00,,10.13,-10.13,-10.44
33,2022-23,Q1,05/24/24,CC400037,Customer Care Services - NOW Support,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,1.00,0.85,0.70,0.16,0.11
34,2022-23,Q1,05/25/24,CC400040,Customer Care Services - NOW -PMB-NCFM,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,1.00,0.39,0.25,0.14,0.10
35,2022-23,Q1,05/26/24,CC400041,Customer Care Services - NOW -PMB-MSM,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,27.97,13.06,9.68,3.39,2.13
36,2022-23,Q1,05/27/24,CC400044,Customer Care Services - Regulatory Function  -PMB,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,29.00,15.13,7.59,7.54,6.24
37,2022-23,Q1,05/28/24,CC400048,Customer Care Services - PMB IFSC-Helpdesk Support,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,6.00,4.77,2.41,2.36,2.09
38,2022-23,Q1,05/29/24,IM300052,IMS - PMB - Stratus MMC Services,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,,45.17,45.39,-0.22,-0.22
39,2022-23,Q1,05/30/24,IM300091,IMS- PMB- Co-Location Project,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,39.00,120.00,17.97,102.03,100.27
40,2022-23,Q1,05/31/24,IM300158,IMS - PMB - Stratus T&M,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,10.00,10.46,12.93,-2.48,-2.93
41,2022-23,Q1,06/01/24,IM300169,IMS-PMB-VMS-AWC Cloud Hosting,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,,0.44,0.00,0.44,0.44
42,2022-23,Q1,06/02/24,IM400212,IMS-PMB-BCP,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,88.07,112.62,48.93,63.69,59.73
43,2022-23,Q1,06/03/24,IM400216,IMS-PMB-Incident Manager,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,2.00,3.11,1.84,1.27,1.18
44,2022-23,Q1,06/04/24,IM400218,IMS-PMB-Project Management (PMO),PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,2.00,2.67,1.65,1.02,0.93
45,2022-23,Q1,06/05/24,IS400003,ISRC - PMB,PMB,ISRC,Digital,Project,IND,PMBIT-IND-SA,,24.55,14.38,10.17,10.17
46,2022-23,Q1,06/06/24,SS300256,Software Service - PMB-Enterprise Applications support,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,25.70,19.51,19.18,0.33,-0.83
47,2022-23,Q1,06/07/24,SS300266,Software Service - PMB - CTCL-CRM Support,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,12.00,9.84,8.21,1.63,1.09
48,2022-23,Q1,06/08/24,SS400224,Software Services - PMB Infotech Gift City -Support Service,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,58.13,33.89,54.85,-20.96,-23.58
49,2022-23,Q1,06/09/24,SS400229,Software Services - PMB IFSC Clearing Gift City Sup Service,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,1.73,4.80,0.94,3.86,3.78
50,2022-23,Q1,06/10/24,SS400250,Software Services - PMB -Trading Test Environment Management,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,18.00,18.38,11.40,6.98,6.17
51,2022-23,Q1,06/11/24,SS400283,Software Service - PMB-PSM & Epsilon,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,32.43,37.66,30.88,6.78,5.32
52,2022-23,Q1,06/12/24,SS400298,Software Services -PMB -GIFT City- SGX DTX,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,11.00,7.80,8.25,-0.45,-0.94
53,2022-23,Q1,06/13/24,PN399999,Practice Bench – PSG Non PMB,PMB,PSG-Non PMB,Digital,Bench,IND,PMBIT-IND-SA,2.98,,0.00,-2.59,-2.66
54,2022-23,Q1,06/14/24,PN499999,Practice Bench-PSG -PMB,PMB,PSG-PMB,Digital,Bench,IND,PMBIT-IND-SA,0.15,,0.00,-0.85,-0.86
55,2022-23,Q1,06/15/24,ST400179,Software Testing-LIB-T&M,LIB,PSG-Non PMB,Digital,Project,IND,PMBIT-IND-SA,85.30,51.76,39.29,12.47,8.63
56,2022-23,Q1,06/16/24,SS400046,Software Services - T&M - PMB - Development,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,86.08,107.56,76.41,31.16,27.28
57,2022-23,Q1,06/17/24,SS400249,Software Services - PMB IFSC Gift City Trading Development,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,52.90,60.78,45.72,15.06,12.68
58,2022-23,Q1,06/18/24,SS400303,Software Service -PMB-Collateral segregation,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,2.25,3.01,3.49,-0.48,-0.59
59,2022-23,Q1,06/19/24,ST400176,Software Testing - T&M - PMB - BAT,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,8.00,9.20,6.37,2.83,2.47
60,2022-23,Q1,06/20/24,ST400204,Software Testing- PMB -Web Testing,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,3.00,8.33,0.96,7.37,7.24
61,2022-23,Q1,06/21/24,ST400211,Software Testing-PMB -MF Testing,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,2.00,2.60,0.96,1.63,1.54
62,2022-23,Q1,06/22/24,SS300261,Software Service - PMB- Contract Note generation module,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,4.62,,3.50,-3.50,-3.70
63,2022-23,Q1,06/23/24,SS300292,Software Service - PMB XBRL -AMC,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,1.51,2.75,1.68,1.07,1.00
64,2022-23,Q1,06/24/24,SS300295,Software Service - PMB- Contract Generation AMC Support ,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,5.95,9.85,8.69,1.16,0.89
65,2022-23,Q1,06/25/24,SS300299,Software Service - PMB-Neaps AMC,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,2.25,5.52,6.26,-0.74,-0.84
66,2022-23,Q1,06/26/24,SS300309,Software Service-PMB-IFSC Website ,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,,0.00,0.00,0.00
67,2022-23,Q1,06/27/24,SS300318,Software Service -PMB-STP Support HUB,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,2.20,2.75,1.92,0.83,0.73
68,2022-23,Q1,06/28/24,SS300330,Software Service -PMB-Solace Onsite Support,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,6.71,0.00,6.71,6.71
69,2022-23,Q1,06/29/24,SS400287,Software Service -Contract Generation - Production Support,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,2.00,2.91,1.69,1.22,1.13
70,2022-23,Q1,06/30/24,SS400290,PMB- Solace -Enhanced Support,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,3.54,28.74,3.09,25.65,25.49
71,2022-23,Q1,07/01/24,SS400294,Software Service -PMB-IFSC-Website Dev & Mtns,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,5.00,7.29,4.11,3.18,2.96
72,2022-23,Q1,07/02/24,SS400306,Software Service -PMB-Website,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,23.31,85.51,23.71,61.81,60.76
73,2022-23,Q1,07/03/24,SS400308,Software Service -PMB-Data Scientist (Surveillance) ,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,0.52,2.88,1.83,1.05,1.03
74,2022-23,Q1,07/04/24,RP300009,RPA - Automation (24 Process ) - PMB,PMB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,2.00,,1.33,-1.33,-1.42
75,2022-23,Q1,07/05/24,RP300013,RPA - Automation -LIB,LIB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,8.82,8.20,7.89,0.31,-0.09
76,2022-23,Q1,07/06/24,RP400001,RPA - PMB - Robotic Automation  T&M,PMB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,2.00,3.87,0.64,3.23,3.14
77,2022-23,Q1,07/07/24,RP400011,RPA - LIB -T&M,LIB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,5.00,2.21,1.42,0.79,0.56
78,2022-23,Q1,07/08/24,SS300252,Software Services - KRA Dashboard - CPMS,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,1.00,-1.23,0.00,-1.23,-1.27
79,2022-23,Q1,07/09/24,SS300262,Software Service - PMB- Document Management System,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,,0.55,-0.55,-0.55
80,2022-23,Q1,07/10/24,SS300271,Software Service - PMB - PPMS,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,,1.04,-1.04,-1.04
81,2022-23,Q1,07/11/24,SS300283,Software Services - PMB - Trading Simulator,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,1.10,2.00,0.66,1.34,1.29
82,2022-23,Q1,07/12/24,SS300301,Software Service -PMB Vendor Management System,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,0.42,0.00,0.42,0.42
83,2022-23,Q1,07/13/24,SS300305,Software Service -PMB-DMS-CSR Portal,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,,0.55,-0.55,-0.55
84,2022-23,Q1,07/14/24,SS300308,Software Service-PMB-Volume Generation Tool -AMC,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,3.49,2.33,2.18,0.15,0.00
85,2022-23,Q1,07/15/24,SS300314,Software Service -PMB-DMS-AMC-CSR Portal,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,,0.74,-0.74,-0.74
86,2022-23,Q1,07/16/24,SS300332,Software Service-PMB-Volume Gen. Onsite Support,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,3.31,0.00,3.31,3.31
87,2022-23,Q1,07/17/24,PD499999,Practice Bench –  PMB-Data & Analytics ,PMB,Data & Analytics,Digital,Bench,IND,PMBIT-IND-SA,4.77,,0.00,-8.07,-8.16
88,2022-23,Q1,07/18/24,SS300303,Software Service -PMB -Client & TM Profiling,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,13.26,11.73,22.89,-11.16,-11.76
89,2022-23,Q1,07/19/24,SS300334,Software Service-PMB-DataSwitch,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,,1.50,0.00,1.50,1.50
90,2022-23,Q1,07/20/24,SS300335,Software Service-PMB-Shareholder Repository Platform,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,6.96,,7.32,-7.32,-7.63
91,2022-23,Q1,07/21/24,SS400305,Software Service -PMB-SnowFlake Migration,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,9.00,,11.95,-11.95,-12.35
92,2022-23,Q1,07/22/24,CC400037,Customer Care Services - NOW Support,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,1.00,0.90,0.70,0.21,0.16
93,2022-23,Q1,07/23/24,CC400040,Customer Care Services - NOW -PMB-NCFM,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,1.00,0.23,0.25,-0.02,-0.07
94,2022-23,Q1,07/24/24,CC400041,Customer Care Services - NOW -PMB-MSM,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,29.97,13.06,10.68,2.39,1.04
95,2022-23,Q1,07/25/24,CC400044,Customer Care Services - Regulatory Function  -PMB,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,29.00,18.19,7.74,10.45,9.14
96,2022-23,Q1,07/26/24,CC400048,Customer Care Services - PMB IFSC-Helpdesk Support,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,6.00,4.22,2.44,1.78,1.51
97,2022-23,Q1,07/27/24,IM300052,IMS - PMB - Stratus MMC Services,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,,45.17,48.58,-3.41,-3.41
98,2022-23,Q1,07/28/24,IM300091,IMS- PMB- Co-Location Project,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,39.00,120.00,18.27,101.73,99.98
99,2022-23,Q1,07/29/24,IM300158,IMS - PMB - Stratus T&M,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,9.65,10.46,9.76,0.70,0.26
100,2022-23,Q1,07/30/24,IM300169,IMS-PMB-VMS-AWC Cloud Hosting,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,,0.44,0.00,0.44,0.44
101,2022-23,Q1,07/31/24,IM400212,IMS-PMB-BCP,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,87.65,109.91,49.93,59.99,56.04
102,2022-23,Q1,08/01/24,IM400216,IMS-PMB-Incident Manager,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,2.00,3.11,1.84,1.27,1.18
103,2022-23,Q1,08/02/24,IM400218,IMS-PMB-Project Management (PMO),PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,2.00,2.67,1.57,1.10,1.01
104,2022-23,Q1,08/03/24,IS400003,ISRC - PMB,PMB,ISRC,Digital,Project,IND,PMBIT-IND-SA,,24.55,11.33,13.22,13.22
105,2022-23,Q1,08/04/24,SS300256,Software Service - PMB-Enterprise Applications support,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,29.03,21.81,20.43,1.37,0.07
106,2022-23,Q1,08/05/24,SS300266,Software Service - PMB - CTCL-CRM Support,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,12.00,9.84,8.11,1.73,1.19
107,2022-23,Q1,08/06/24,SS400224,Software Services - PMB Infotech Gift City -Support Service,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,61.04,26.07,56.51,-30.44,-33.19
108,2022-23,Q1,08/07/24,SS400229,Software Services - PMB IFSC Clearing Gift City Sup Service,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,1.00,4.80,-0.71,5.51,5.46
109,2022-23,Q1,08/08/24,SS400250,Software Services - PMB -Trading Test Environment Management,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,15.77,24.27,10.52,13.75,13.04
110,2022-23,Q1,08/09/24,SS400283,Software Service - PMB-PSM & Epsilon,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,32.58,46.62,31.14,15.48,14.02
111,2022-23,Q1,08/10/24,SS400298,Software Services -PMB -GIFT City- SGX DTX,PMB,IMS,Digital,Project,IND,PMBIT-IND-SA,11.16,16.02,8.89,7.13,6.63
112,2022-23,Q1,08/11/24,PN399999,Practice Bench – PSG Non PMB,PMB,PSG-Non PMB,Digital,Bench,IND,PMBIT-IND-SA,1.25,,0.00,-1.86,-1.89
113,2022-23,Q1,08/12/24,PN499999,Practice Bench-PSG -PMB,PMB,PSG-PMB,Digital,Bench,IND,PMBIT-IND-SA,0.15,,0.00,-0.85,-0.86
114,2022-23,Q1,08/13/24,ST400179,Software Testing-LIB-T&M,LIB,PSG-Non PMB,Digital,Project,IND,PMBIT-IND-SA,88.59,52.13,41.73,10.40,6.41
115,2022-23,Q1,08/14/24,SS400046,Software Services - T&M - PMB - Development,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,85.25,168.32,74.89,93.43,89.59
116,2022-23,Q1,08/15/24,SS400249,Software Services - PMB IFSC Gift City Trading Development,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,50.58,75.15,50.77,24.38,22.11
117,2022-23,Q1,08/16/24,SS400303,Software Service -PMB-Collateral segregation,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,2.18,3.02,3.25,-0.23,-0.33
118,2022-23,Q1,08/17/24,ST400176,Software Testing - T&M - PMB - BAT,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,7.19,10.10,5.43,4.67,4.35
119,2022-23,Q1,08/18/24,ST400204,Software Testing- PMB -Web Testing,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,3.00,,0.96,-0.96,-1.09
120,2022-23,Q1,08/19/24,ST400211,Software Testing-PMB -MF Testing,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,2.00,3.94,0.96,2.98,2.89
121,2022-23,Q1,08/20/24,SP100157,Software Products -PMB-Dataswitch Licence,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,,4.08,3.04,1.04,1.04
122,2022-23,Q1,08/21/24,SS300292,Software Service - PMB XBRL -AMC,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,2.25,4.02,3.64,0.39,0.28
123,2022-23,Q1,08/22/24,SS300295,Software Service - PMB- Contract Generation AMC Support ,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,5.31,11.46,6.21,5.25,5.01
124,2022-23,Q1,08/23/24,SS300299,Software Service - PMB-Neaps AMC,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,2.35,8.00,4.93,3.07,2.97
125,2022-23,Q1,08/24/24,SS300309,Software Service-PMB-IFSC Website ,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,0.50,7.00,0.40,6.60,6.57
126,2022-23,Q1,08/25/24,SS300318,Software Service -PMB-STP Support HUB,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,2.20,2.75,1.78,0.97,0.87
127,2022-23,Q1,08/26/24,SS300325,Software Service -PMB-Bank Integration API,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,-1.00,,-0.73,0.73,0.75
128,2022-23,Q1,08/27/24,SS300326,Software Service -PMB-Trading Member Integration API,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,-1.25,,-1.12,1.12,1.15
129,2022-23,Q1,08/28/24,SS300327,Software Service -PMB-XBRL - BRSR,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,5.24,0.00,5.24,5.24
130,2022-23,Q1,08/29/24,SS300328,Software Service -PMB-XBRL - Misc,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,20.00,14.50,5.50,5.50
131,2022-23,Q1,08/30/24,SS300330,Software Service -PMB-Solace Onsite Support,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,15.44,28.18,-12.74,-12.74
132,2022-23,Q1,08/31/24,SS400287,Software Service -Contract Generation - Production Support,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,2.00,2.94,1.63,1.31,1.22
133,2022-23,Q1,09/01/24,SS400290,PMB- Solace -Enhanced Support,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,2.00,28.74,67.11,-38.37,-38.46
134,2022-23,Q1,09/02/24,SS400294,Software Service -PMB-IFSC-Website Dev & Mtns,PMB,PSG-PMB,Digital,Project,IND,PMBIT-IND-SA,4.23,15.25,3.23,12.02,11.83
135,2022-23,Q1,09/03/24,SS400306,Software Service -PMB-Website,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,22.10,29.88,22.17,7.71,6.72
136,2022-23,Q1,09/04/24,SS400308,Software Service -PMB-Data Scientist (Surveillance) ,PMB,Data & Analytics,Digital,Project,IND,PMBIT-IND-SA,1.00,5.25,3.46,1.79,1.74
137,2022-23,Q1,09/05/24,SS400312,Software Service -PMB-VGT Load Pumping,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,0.50,0.00,0.50,0.50
138,2022-23,Q1,09/06/24,RP100001,RPA - PMB - Robotic Automation,PMB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,,26.00,21.01,4.99,4.99
139,2022-23,Q1,09/07/24,RP100009,RPA - LIB-Automation Licence,LIB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,,26.15,21.87,4.28,4.28
140,2022-23,Q1,09/08/24,RP300009,RPA - Automation (24 Process ) - PMB,PMB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,2.05,7.50,1.75,5.75,5.66
141,2022-23,Q1,09/09/24,RP300013,RPA - Automation -LIB,LIB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,8.60,10.58,7.88,2.70,2.31
142,2022-23,Q1,09/10/24,RP400001,RPA - PMB - Robotic Automation  T&M,PMB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,2.00,4.17,0.60,3.57,3.48
143,2022-23,Q1,09/11/24,RP400011,RPA - LIB -T&M,LIB,Business Transformation,Digital,Project,IND,PMBIT-IND-SA,4.10,2.21,1.56,0.65,0.46
144,2022-23,Q1,09/12/24,SS300252,Software Services - KRA Dashboard - CPMS,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,1.00,,0.00,,-0.05
145,2022-23,Q1,09/13/24,SS300262,Software Service - PMB- Document Management System,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,,0.55,-0.55,-0.55
146,2022-23,Q1,09/14/24,SS300271,Software Service - PMB - PPMS,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,3.12,4.17,-1.05,-1.05
147,2022-23,Q1,09/15/24,SS300283,Software Services - PMB - Trading Simulator,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,1.10,1.00,0.66,0.34,0.29
148,2022-23,Q1,09/16/24,SS300301,Software Service -PMB Vendor Management System,PMB,App Modernisation,Digital,Project,IND,PMBIT-IND-SA,,0.42,0.00,0.42,0.42
